# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747808656086000000,1747808713113000000,0
workspaceModel.moduleBridge.before.changed.ms,1747808656086000000,1747808713113000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1747808656086000000,1747808713113000000,451
workspaceModel.moduleManagerBridge.load.module.ms,1747808656086000000,1747808713113000000,0
jps.project.serializers.load.ms,1747808656086000000,1747808713113000000,391
jps.storage.jps.conf.reader.load.component.ms,1747808656086000000,1747808713113000000,14
workspaceModel.delayed.project.synchronizer.sync.ms,1747808656086000000,1747808713113000000,0
jps.load.initial.state.ms,1747808656086000000,1747808713113000000,685
workspaceModel.global.updates.ms,1747808656086000000,1747808713113000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1747808656086000000,1747808713113000000,53
jps.save.global.entities.ms,1747808656086000000,1747808713113000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747808656086000000,1747808713113000000,33
workspaceModel.global.updates.count,1747808656086000000,1747808713113000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747808656086000000,1747808713113000000,382
jps.facet.change.listener.init.bridge.ms,1747808656086000000,1747808713113000000,5
jps.global.get.libraries.ms,1747808656086000000,1747808713113000000,0
workspaceModel.moduleBridge.update.option.ms,1747808656086000000,1747808713113000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1747808656086000000,1747808713113000000,0
jps.facet.change.listener.process.change.events.ms,1747808656086000000,1747808713113000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747808656086000000,1747808713113000000,9
workspaceModel.mutableEntityStorage.referrers.ms,1747808656086000000,1747808713113000000,0
jps.modifiable.module.model.bridge.load.module.ms,1747808656086000000,1747808713113000000,0
jps.global.handle.changed.events.ms,1747808656086000000,1747808713113000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1747808656086000000,1747808713113000000,231
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747808656086000000,1747808713113000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747808656086000000,1747808713113000000,69
workspaceModel.moduleManagerBridge.get.modules.ms,1747808656086000000,1747808713113000000,0
